,ma120,ma120_slope,ma20,ma20_slope,ma5,ma5_slope,ma60,ma60_slope,weighted_avg,날짜,종목명,종목코드,주식_종가,시가총액
15475,5965.333333333333,-0.0024656347787214514,6314.0,-0.0011086474501108647,6254.0,0.0025583626479053407,6357.833333333333,-0.001074789629590746,0.0012104455292211516,2021.06.22,성도이엔지,037350,6230,95400000000
15655,8351.5,-0.0043604941228121965,10582.0,-0.003071253071253071,10204.0,-0.008820070560564485,10072.833333333334,-0.0030279464566407995,-0.00686811583042222,2021.06.22,한국맥널티,222980,10650,111100000000
15835,3146.5833333333335,-0.0037871765671761335,3701.5,-0.013778198027826557,4094.0,-0.03761602344894968,3339.9166666666665,-0.006063025524588937,-0.028001716228200305,2021.06.22,육일씨엔에쓰,191410,4420,42600000000
16015,2495.9583333333335,-0.0012186367961539034,2758.5,-0.0007250317201377561,2745.0,-0.0025500910746812386,2655.8333333333335,-0.0010982114841544912,-0.0019733185307935007,2021.06.22,바다로19호,155900,2745,42300000000
16195,32251.25,-0.00253220159425349,37885.0,0.0005939025999736043,37980.0,0.011848341232227487,35549.166666666664,-0.002203520945169699,0.007473240146712944,2021.06.22,사람인에이치알,143240,36950,439000000000
16375,2108.125,-0.0005534143690087234,2326.5,-0.0006447453255963894,2213.0,-0.0022593764121102574,2172.75,-0.0008054309055344609,-0.0017057575419948275,2021.06.22,SK6호스팩,340350,2160,12300000000
16555,18231.666666666668,0.0025139409452417287,13892.5,-0.006838222062263811,14560.0,-0.017857142857142856,15587.5,0.0024057738572574178,-0.012608512836607792,2021.06.22,퀀타매트릭스,317690,15150,226800000000
16687,59085.0,-0.002045076302502086,60405.0,-0.0027315619567916563,60620.0,-0.0003299241174529858,59973.333333333336,0.0004724321920852904,-0.0008157736636193473,2021.06.22,압타바이오,293780,60800,672400000000
16867,42845.416666666664,0.0044150969084597895,24090.0,0.011623080116230802,23180.0,0.0,36964.166666666664,0.008521766575737765,0.0033975475262429267,2021.06.22,위드텍,348350,22900,230100000000
17027,82503.33333333333,-0.004999797987960083,103025.0,-0.005289978160640621,107640.0,-0.009847640282422892,93225.0,-0.005291856619290196,-0.008238137377030028,2021.06.22,아프리카TV,067160,109300,1251800000000
17207,32091.666666666668,-0.011646325629706569,55207.5,-0.024000362269619165,67300.0,0.014858841010401188,43469.166666666664,-0.015930832199068306,0.0026827747014447805,2021.06.22,다원넥스뷰,323350,65500,47800000000
17387,2744.4583333333335,-0.0017307604718599602,2862.0,-0.003930817610062893,2954.0,-0.006093432633716994,2805.8333333333335,-0.002197802197802306,-0.005053212977301854,2021.06.22,심텍홀딩스,036710,2960,121000000000
17567,23071.25,-0.0006320998356539901,22727.5,-0.002089979100208998,23190.0,-0.009486847779215178,22973.333333333332,-0.0007617527568195009,-0.006692227143996314,2021.06.22,심텍,222800,23150,734200000000
17747,32310.416666666668,0.0009413888709780666,30532.5,0.00016375992794563171,30260.0,0.0,31014.166666666668,0.0007523443587607422,0.0001550558650141039,2021.06.22,솔트룩스,304100,30400,155000000000
17927,6983.0,-0.0021361401498878664,6995.0,0.00035739814152966406,6898.0,0.0,7437.5,0.0042577030812325336,0.00039044292893479287,2021.06.22,팬엔터테인먼트,068050,6790,184500000000
18107,25880.416666666668,-0.0005956885032119348,27702.5,-0.005143940077610324,29050.0,-0.002065404475043029,26225.833333333332,-0.001525213688792857,-0.002553606718339916,2021.06.22,솔루엠,248070,28900,1451800000000
18251,131200.83333333334,0.00301065160917423,119280.0,-0.0010479543930248156,119820.0,-0.000500751126690035,121315.0,0.002115704295978828,-0.00017297610089689157,2021.06.22,셀트리온헬스케어,091990,120600,18784900000000
18431,4283.625,0.00013617749764114042,3890.0,0.0,3890.0,0.0,3890.0,0.0,6.808874882057022e-06,2021.06.22,OQP,078590,3890,322900000000
18611,12871.666666666666,-0.002071733782208939,14537.5,0.00017196904557179707,14350.0,0.00975609756097561,14460.0,-0.0024204702627939143,0.006030223508358668,2021.06.22,노루홀딩스,000320,14100,188100000000
18791,7409.916666666667,0.0036831273406132854,3904.5,-0.005954667691125624,3904.0,0.00025614754098360657,6336.833333333333,0.010007627363825303,0.00016048146682741402,2021.06.22,루켄테크놀러지스,162120,3925,40000000000
18971,24895.416666666668,-0.0005857838624915198,23570.0,0.003924480271531608,23330.0,0.0017145306472353193,24723.333333333332,0.0016516111635433096,0.0020352128982390346,2021.06.22,라온피플,300120,23150,244500000000
19151,13999.166666666666,-0.0005655098517768482,13952.5,-0.006987994982977961,14900.0,-0.0026845637583892616,13708.333333333334,-0.0028571428571429456,-0.0034565552178517497,2021.06.22,브릿지바이오,288330,14950,292800000000
19331,16321.25,-0.0002297618135865819,17042.5,-0.0014669209329617133,17220.0,-0.005226480836236934,16773.333333333332,-0.002036963434022113,-0.0039057811642278905,2021.06.22,파미셀,005690,17600,143300000000
19511,4626.875,-0.0016749966229906794,5033.5,-0.0040727128240786725,5070.0,-0.0007889546351084812,4770.25,-0.003598693290009322,-0.0017709822377867137,2021.06.22,아이앤씨,052860,5100,90700000000
19691,7791.833333333333,-0.0006844773373831187,7665.5,-0.0022177287848150805,7824.0,-0.005112474437627812,7737.833333333333,-0.0012708122428758736,-0.003927959232577838,2021.06.22,에스엠코어,007820,7840,157100000000
19871,12285.416666666666,-0.0007122265558758691,11107.5,-0.002025658338960162,11160.0,-0.0017921146953405018,11595.0,0.0016530113554692593,-0.0014403164120102261,2021.06.22,라닉스,317120,11100,106600000000
20051,61864.166666666664,-0.0026401928957257726,67595.0,0.0014054293956653598,66120.0,0.0006049606775559589,67111.66666666667,-0.00037251347257059126,0.0005050493275010975,2021.06.22,코미코,183300,65400,664400000000
20231,8630.666666666666,-0.0021435192337401513,9921.0,-0.007962906965023686,10720.0,-0.002798507462686567,9001.666666666666,-0.005554526939455657,-0.004074239899383579,2021.06.22,네오크레마,311390,10800,78600000000
20411,6303.833333333333,0.0006477540121091304,5825.0,-0.0038626609442060085,5892.0,-0.0033944331296673455,5869.5,-5.679075446512142e-05,-0.002952205097966032,2021.06.22,모트렉스,118990,5990,234800000000
20591,2823.9166666666665,-0.0043231917844600105,3610.0,-0.0009695290858725762,3556.0,-0.003937007874015748,3242.8333333333335,-0.004240119237292491,-0.0033931324482370014,2021.06.22,에스티오,098660,3575,44900000000
20771,117487.5,-0.002035677554349795,123100.0,0.002843216896831844,115800.0,0.008635578583765112,123750.0,-0.0005387205387205779,0.006026113527224144,2021.06.22,OCI,010060,115000,2766500000000
20951,17407.916666666668,-0.0033030948562675026,18597.5,-0.0038983734372899583,19080.0,-0.007861635220125786,17706.666666666668,-0.00334149096385549,-0.006389041419738677,2021.06.22,텔레칩스,054450,19350,260700000000
21131,5870.875,-0.0018239756992497762,5894.5,-0.007379760793960472,6022.0,-0.0073065426768515445,5948.0,-0.00215758798475673,-0.00653216248218376,2021.06.22,HRS,036640,6140,100300000000
21311,16742.333333333332,-0.008352081549763999,26627.5,-0.0008449910806497043,25810.0,0.012785741960480435,24858.333333333332,-0.0053972510895071105,0.007184404871743431,2021.06.22,덕성,004830,24900,388100000000
21670,2195.75,-0.0037762343921969783,2617.0,-0.010126098586167366,2846.0,-0.0010541110330288123,2408.1666666666665,-0.005190670634645997,-0.00341827067177665,2021.06.22,성문전자,014910,2825,54500000000
21850,14916.666666666666,0.0018156424581005995,15347.5,0.0004886789379377749,14800.0,0.0033783783783783786,14862.5,-0.0024670591533501136,0.00213775794110352,2021.06.22,한국유니온제약,080720,14800,115800000000
22030,7730.833333333333,-0.00250080845100783,8598.5,-0.0011048438681165319,8638.0,0.009029868025005789,8361.166666666666,-0.002212609882990811,0.005302144031780984,2021.06.22,넥센타이어,002350,8460,828200000000
22210,27022.5,-0.004039843340426233,31137.5,-0.011320754716981131,34900.0,-0.02664756446991404,29456.666666666668,-0.0054882878805024736,-0.020335888803911913,2021.06.22,KG케미칼,001390,36650,531100000000
22390,7335.666666666667,-0.0008633616576544653,8458.5,-0.00277827037890879,8608.0,0.012081784386617101,7903.5,-0.0034372957128698638,0.0069106081213496495,2021.06.22,도이치모터스,067990,8260,242900000000
22570,44674.166666666664,-0.003040534238653849,47857.5,-0.00846262341325811,50880.0,-0.01434748427672956,47064.166666666664,-0.002408059918196685,-0.011411222166278196,2021.06.22,PI첨단소재,178920,52800,1547600000000
22750,1053.5583333333334,-0.0031638811329859776,1463.25,-0.007346659832564497,1450.0,0.019310344827586208,1174.7833333333333,-0.004483096173762525,0.010475888497392585,2021.06.22,파워풀엑스,266870,1300,9400000000
22930,9516.833333333334,-0.003152309066391131,10239.5,0.002441525465110601,10068.0,0.0,11134.833333333334,-0.0005837536858806448,0.0002723142711144992,2021.06.22,한국철강,104700,10150,474300000000
23110,16917.5,-0.00349736466183939,19865.0,-0.00591492574880443,21260.0,-0.0061147695202257765,19001.666666666668,-0.0039908779931586225,-0.0057315413703154725,2021.06.22,KISCO홀딩스,001940,21450,397200000000
23290,23192.083333333332,0.003377589335441437,19172.5,-0.0007823705828660843,19050.0,-0.003674540682414698,20087.5,0.0029454470026965963,-0.002081501393101039,2021.06.22,핑거,163730,19050,176500000000
23452,21880.833333333332,-0.0013139353315306395,23280.0,-0.0016108247422680412,23720.0,0.002529510961214165,22743.333333333332,-0.0013557086325662665,0.0011207495465024406,2021.06.22,보령제약,003850,23200,1198800000000
23632,32332.5,0.0007989896646820419,30300.0,0.0,30300.0,0.0,30578.333333333332,0.0019621736523682347,0.00023616684847092557,2021.06.22,큐리언트,115180,30300,269200000000
23812,18835.0,-0.001681267144500551,20205.0,-0.0023509032417718388,19990.0,0.006003001500750375,20058.333333333332,0.00012463647694225177,0.0033601706176025737,2021.06.22,송원산업,004430,19550,474000000000
23992,14774.583333333334,0.0006486364533685972,14685.0,-0.002383384405856316,15010.0,-0.0013324450366422385,15343.333333333334,-0.0007603736693461577,-0.0013863716992549044,2021.06.22,메디아나,041920,14800,128500000000
24172,8809.75,0.0009270032255927875,8157.0,-0.000980752727718524,7952.0,0.00025150905432595576,8536.333333333334,0.002011011753680276,0.0002147816764158334,2021.06.22,와이엠씨,155650,7980,158800000000
24352,2569.4166666666665,-0.0018648850257840036,2627.25,-0.010276905509563231,2842.0,-0.026038001407459536,2595.25,-0.0031146646116302803,-0.019384792729213573,2021.06.22,예선테크,250930,2985,97800000000
24532,12701.083333333334,0.0009710457769349428,10254.0,0.00867953969182758,9922.0,0.00463616206409998,11005.333333333334,0.0015598497698085226,0.004953950545858103,2021.06.22,티에스아이,277880,9820,181300000000
24712,8051.916666666667,-0.002680521200956369,8884.0,0.002476361999099505,8784.0,-0.006830601092896175,8835.0,-0.0009432182607055959,-0.00417296619668099,2021.06.22,마이크로프랜드,147760,8930,96100000000
24892,10181.583333333334,0.0017678979202645298,7699.0,-0.0013638134822704247,7752.0,-0.006449948400412796,8572.833333333334,0.008476388591869595,-0.0035291954015222167,2021.06.22,프로테옴텍,303360,7890,88200000000
25072,5111.458333333333,-0.00446708783370689,5717.5,0.0002623524267599475,5714.0,0.002450122506125306,5837.25,-0.0022270761060430855,0.0011989881120437853,2021.06.22,서플러스글로벌,140070,5660,210100000000
25252,22003.75,-0.00331382908216408,25480.0,-0.0012755102040816326,26810.0,-0.016038791495710556,24247.5,-0.005945630133690809,-0.011440570980505473,2021.06.22,코스모신소재,005070,27450,827900000000
25432,175460.83333333334,-0.0014248194041405252,179875.0,-0.010118137595552468,199920.0,-0.025110044017607042,182260.0,-0.0012253557189363714,-0.018538932672655734,2021.06.22,메디톡스,086900,207300,1282100000000
25612,16369.333333333334,-0.006261708886535798,21205.0,0.0,21770.0,-0.009186954524575103,20214.166666666668,-0.005276827307581377,-0.0068122886160587445,2021.06.22,대한제강,084010,22400,549600000000
25792,24097.083333333332,0.0011412169522590908,22927.5,-0.0005451968160505942,22680.0,0.0030864197530864196,23836.666666666668,0.0012585652356313802,0.0020800508474721467,2021.06.22,하나제약,293480,22550,398100000000
25972,35760.0,-0.0013399515287098502,40972.5,-0.004454207090121423,40360.0,0.0027254707631318136,37198.333333333336,-0.003046731484385566,0.0005090438531373449,2021.06.22,롯데지주,004990,40450,4222600000000
26152,36765.0,-0.0005099959200326398,37837.5,0.00026428807400066074,37210.0,0.0067186240257995165,37330.0,0.0008706134476292526,0.004481524780331111,2021.06.22,GS리테일,007070,36700,2818200000000
26511,41672.5,-0.00028995940568326254,45815.0,0.0014733165993670195,44720.0,0.004695885509838999,43547.5,-0.001971027804887439,0.0031353881504958465,2021.06.22,삼성증권,016360,44400,3951500000000
26691,15003.666666666666,-0.005148741418764302,20350.0,-0.0013513513513513514,19830.0,0.008068582955118508,20110.833333333332,-0.0015746073840797702,0.004559410841210568,2021.06.22,서연,007860,19200,448500000000
26871,5671.375,-0.0028211853386524433,6680.0,-0.008083832335329342,7064.0,-0.0014156285390713476,6183.166666666667,-0.003908461144505292,-0.0030688303988453953,2021.06.22,한일네트웍스,046110,6980,83200000000
27051,3558.8333333333335,-7.02477403643516e-05,3360.5,-0.0031989287308436245,3412.0,-0.0038100820633059787,3467.3333333333335,-0.0008171505479715876,-0.0032015665291329873,2021.06.22,인지디스플레,037330,3440,151800000000
27231,15689.583333333334,0.0022838932412693426,13105.0,-0.002670736360167875,13240.0,-0.0030211480362537764,13110.0,0.0005085176709890206,-0.0023328470664361607,2021.06.22,위세아이텍,065370,13250,87100000000
27411,6092.25,-0.0011079650375477041,6288.0,-0.0011927480916030535,6304.0,0.00951776649746193,5904.333333333333,-0.0013831649071302536,0.005754283862439233,2021.06.22,동양피스톤,092780,6250,81400000000
27591,21446.666666666668,-0.00351647497668641,26917.5,-0.007430110522894028,27030.0,0.011098779134295227,23493.333333333332,-0.005462542565266691,0.005006106327352103,2021.06.22,클리오,237880,26300,451500000000
27771,9053.0,-0.0024945690194779564,10880.0,-0.0013786764705882354,10610.0,0.007540056550424128,10173.166666666666,-0.0030636150657775583,0.004194211506106382,2021.06.22,라이온켐텍,171120,10450,196500000000
27951,12058.0,-0.004146624647536905,14072.5,-0.0003553028957186001,13650.0,0.008791208791208791,14066.666666666666,-0.0034360189573458856,0.00509229200703056,2021.06.22,나우IB,293580,13350,125100000000
28131,45322.5,-0.0009193373416440894,50362.5,0.0007942417473318441,50010.0,-0.001999600079984003,48880.0,-0.0015343698854337151,-0.0013402955581488093,2021.06.22,DB손해보험,005830,50000,3518800000000
28311,279779.1666666667,-0.0022339047165174913,325425.0,-0.0012291618652531305,325000.0,0.004923076923076923,308575.0,-0.0025925625860811798,0.0025832161325153816,2021.06.22,SK텔레콤,017670,322000,2395300000000
28491,2285.375,-0.00020055060256346768,2322.0,-0.006675279931093884,2390.0,-0.0012552301255230125,2261.25,-0.001990049751243781,-0.0023599880730612866,2021.06.22,옴니시스템,057540,2390,110100000000
28850,4184.0,-0.0024099745060547394,4347.75,-0.00184003220056351,4336.0,-0.006457564575645757,4446.5,-0.0017991678848532553,-0.004865838928070507,2021.06.22,인터지스,129260,4400,131800000000
29209,4705.166666666667,0.0005047642662321561,4773.75,-0.0025661167844985597,4814.0,-0.0002077274615704196,4712.583333333333,5.304945977966791e-05,-0.0006177030476309102,2021.06.22,CJ씨푸드,011150,4745,170100000000
29389,43490.833333333336,0.0014562455689895223,41715.0,0.0020975668224859165,40880.0,0.004892367906066536,41963.333333333336,0.0012709508300896453,0.003799459864898872,2021.06.22,올릭스,226950,40700,555000000000
29569,124616.66666666667,-0.002006152200080246,135950.0,0.0025744759102611253,131500.0,0.0,135116.66666666666,-0.0010484766251386973,0.00030973990953434303,2021.06.22,쿠쿠홀딩스,192400,131000,910400000000
29749,5089.958333333333,-0.0031352581471687942,5429.0,-0.0015656658684840672,5496.0,0.006186317321688501,5290.75,-0.0016695805572618306,0.003384252122316089,2021.06.22,무림P&P,009580,5460,340500000000
29929,12707.083333333334,0.0018690362986523263,11232.5,0.001112842198976185,11380.0,-0.012302284710017574,11370.833333333334,0.0003664345914253772,-0.007643821347641033,2021.06.22,인바이오,352940,11750,128200000000
30059,211026.66666666666,0.008059802868515873,61095.0,-0.004910385465259023,64720.0,0.0015451174289245982,121691.66666666667,0.03299322057111552,0.00372456143628653,2021.06.22,펄어비스,263750,64400,4258000000000
30597,13431.25,-0.0003412439894525036,13455.0,0.005202526941657376,12740.0,-0.002354788069073783,14757.5,0.002089333107459525,-0.00029823574529315656,2021.06.22,진성티이씨,036890,12850,286600000000
30777,3136.4583333333335,0.0013284623048820507,2830.75,-0.004415790868144484,2890.0,-0.005190311418685121,2907.75,8.597713008339781e-05,-0.004181839767521783,2021.06.22,SDN,099220,2920,139700000000
30957,18279.583333333332,0.0013904401540881883,16275.0,-0.0018433179723502304,16340.0,0.0012239902080783353,16809.166666666668,0.0010410986069109116,0.0006005619091763725,2021.06.22,신도기연,290520,16300,131800000000
31137,16474.166666666668,-0.0014669431938894963,15835.0,-0.001894537417113988,15910.0,-0.00251414204902577,16650.0,0.0003503503503502775,-0.002051411939948995,2021.06.22,로보티즈,108490,16000,180000000000
