종목명,분기,기업코드,유동자산,부채총계,청산가치
인천도시가스,2021년 1분기 보고서,00145862,210106982153,212815889456,-2708907303
액트로,2021년 1분기 보고서,01141942,53257214161,6055836562,47201377599
신풍제약,2021년 1분기 보고서,00137359,305669427353,99471296387,206198130966
하나머스트제6호스팩,2021년 1분기 보고서,01326260,9111152284,748108299,8363043985
한솔피엔에스,2021년 1분기 보고서,00103626,92179359461,65328114324,26851245137
SKC,2021년 1분기 보고서,00139889,311163095040,1047079679557,-735916584517
대창스틸,2021년 1분기 보고서,00112721,104011806748,154375166200,-50363359452
에스티아이,2021년 1분기 보고서,00298340,117882679483,51581472633,66301206850
디오,2021년 1분기 보고서,00115931,159061589386,122253272623,36808316763
한독크린텍,2021년 1분기 보고서,01069736,26530959325,8127234819,18403724506
KMH,2021년 1분기 보고서,00657987,226888757632,144961991903,81926765729
그리티,2021년 1분기 보고서,00671978,58878632710,11807380166,47071252544
지에스이,2021년 1분기 보고서,00351995,35511595850,95872564927,-60360969077
모두투어,2021년 1분기 보고서,00456218,91008544840,79353139722,11655405118
와이아이케이,2021년 1분기 보고서,01109539,239437997719,104627319505,134810678214
자비스,2021년 1분기 보고서,01174038,13722947139,19777478534,-6054531395
유니크,2021년 1분기 보고서,00147152,89131341938,110363484690,-21232142752
아이큐어,2021년 1분기 보고서,00554352,61764795245,111643296670,-49878501425
NICE평가정보,2021년 1분기 보고서,00158325,166783380561,100088504537,66694876024
제노레이,2021년 1분기 보고서,00799539,62110609587,20449783860,41660825727
대봉엘에스,2021년 1분기 보고서,00442826,53519024086,14410667232,39108356854
한세엠케이,2021년 1분기 보고서,00357360,83577612125,46533901175,37043710950
솔본,2021년 1분기 보고서,00249982,15799980116,3037200864,12762779252
세아베스틸,2021년 1분기 보고서,00106669,711252557623,958689206765,-247436649142
유니드,2021년 1분기 보고서,00159786,281430601080,288573649475,-7143048395
CJ,2021년 1분기 보고서,00148540,96918907000,463899154000,-366980247000
상신전자,2021년 1분기 보고서,00760999,41818224837,22360957087,19457267750
태경산업,2021년 1분기 보고서,00153339,43204189135,27593860623,15610328512
쎄니트,2021년 1분기 보고서,00239596,33615496802,48547147646,-14931650844
중앙에너비스,2021년 1분기 보고서,00149770,20733936972,9454978643,11278958329
루트로닉,2021년 1분기 보고서,00549925,124584019969,63597007086,60987012883
KCC건설,2021년 1분기 보고서,00105466,632694283875,600522472737,32171811138
하이즈항공,2021년 1분기 보고서,00688358,48130222588,61411818661,-13281596073
에프앤가이드,2021년 1분기 보고서,00331016,24981333387,14236981875,10744351512
서전기전,2021년 1분기 보고서,00869272,22735464158,15301019438,7434444720
비에이치,2021년 1분기 보고서,00447609,278535043925,150509548291,128025495634
메디앙스,2021년 1분기 보고서,00267854,30630303411,56098190222,-25467886811
에프알텍,2021년 1분기 보고서,00442561,10203419864,26763641697,-16560221833
NHN한국사이버결제,2021년 1분기 보고서,00357740,303644847420,229476200042,74168647378
오로라,2021년 1분기 보고서,00141556,61532282467,132981602222,-71449319755
구영테크,2021년 1분기 보고서,00202060,42772921605,89366999615,-46594078010
큐브앤컴퍼니,2021년 1분기 보고서,00351454,14893105846,1121256756,13771849090
대성미생물,2021년 1분기 보고서,00177320,22686555466,25451029585,-2764474119
하나투어,2021년 1분기 보고서,00269940,222793150163,6969592500,215823557663
에이치엘비생명과학,2021년 1분기 보고서,00365590,101756349141,22564718788,79191630353
시티랩스,2021년 1분기 보고서,00656021,16153572050,35639643939,-19486071889
키네마스터,2021년 1분기 보고서,00535375,11348621942,1914493304,9434128638
지더블유바이텍,2021년 1분기 보고서,00257149,29244885882,20561424394,8683461488
에이트원,2021년 1분기 보고서,01110076,21862960387,13338734734,8524225653
비씨월드제약,2021년 1분기 보고서,00256043,50321500179,57744603675,-7423103496
진바이오텍,2021년 1분기 보고서,00491053,21537595375,5666665180,15870930195
엔피케이,2021년 1분기 보고서,00108490,18655887280,32585689168,-13929801888
티엘아이,2021년 1분기 보고서,00261887,20894166969,5938421552,14955745417
유니셈,2021년 1분기 보고서,00260569,156674394938,54826462128,101847932810
LG전자,2021년 1분기 보고서,00401731,9546983000000,19734747000000,-10187764000000
에스에너지,2021년 1분기 보고서,00585538,91214457791,75437129391,15777328400
지란지교시큐리티,2021년 1분기 보고서,01047169,15291648319,17994383541,-2702735222
LG하우시스,2021년 1분기 보고서,00759513,897846000000,1254305000000,-356459000000
윌링스,2021년 1분기 보고서,00863038,26990706436,8795693126,18195013310
셀트리온,2021년 1분기 보고서,00413046,2419272183592,1320087495118,1099184688474
하이트진로,2021년 1분기 보고서,00150244,1330119863169,2615413275647,-1285293412478
하이트진로홀딩스,2021년 1분기 보고서,00148993,27807397021,625290552876,-597483155855
현대일렉트릭,2021년 1분기 보고서,01205851,1247047389874,1316403139019,-69355749145
레고켐바이오,2021년 1분기 보고서,00842619,77761768256,20650210567,57111557689
LG상사,2021년 1분기 보고서,00120076,904117132581,1381413756694,-477296624113
엑스큐어,2021년 1분기 보고서,00683007,20239289000,1956268000,18283021000
태영건설,2021년 1분기 보고서,00153861,1596501048067,1846759287861,-250258239794
현대약품,2021년 1분기 보고서,00164706,78015382067,67322744899,10692637168
